Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
Granite_e4m3 + PZ + RH16,,,,0.3532775306701659,,,,,
Granite_mxfp4 (e2m1) + RH16,,,,,0.3980348968505858,,,,
Granite_mxfp4 (e2m1) + RH32,,,,,0.3835047149658201,,,,
Granite_mxfp4 (e2m1) + RH64,,,,,0.3872912788391112,,,,
Granite_mxfp4 (e2m1) + RH128,,,,,0.3916295433044432,,,,
Granite_mxfp4 (e1m2) + RH16,,,,,0.651145782470703,,,,
Granite_mxfp4 (e1m2) + RH32,,,,,0.6138428115844725,,,,
Granite_mxfp4 (e1m2) + RH64,,,,,0.6694267654418944,,,,
Granite_mxfp4 (e1m2) + RH128,,,,,0.6670978927612303,,,,
Granite_mxfp4 (e2m1) + Ceil,,,,,0.5938981437683104,,,,
Granite_mxfp4 (e2m1) + Floor,,,,,181.40680297851563,,,,
Granite_mxfp4 (e1m2) + Ceil,,,,,1.0449417495727538,,,,
Granite_mxfp4 (e1m2) + Floor,,,,,126.82867797851564,,,,
Granite_mxfp4 (e2m1) + Hier+FoC+Ceil+RH32,,,,,0.3769739532470701,,,,
Granite_mxfp4 (e1m2) + Hier+FoC+Ceil+RH32,,,,,0.5748370552062987,,,,
Qwen_mxfp4 (e1m2) + 4o6,,,,,1.231859874725341,,,,
Qwen_e4m3 + PZ + RH16,,,,0.6779620170593255,,,,,
Qwen_mxfp4 (e2m1) + RH16,,,,,0.8761698722839348,,,,
Qwen_mxfp4 (e2m1) + RH32,,,,,0.8806602478027337,,,,
Qwen_mxfp4 (e2m1) + RH64,,,,,0.8859393119812005,,,,
Qwen_mxfp4 (e2m1) + RH128,,,,,0.8820020675659173,,,,
Qwen_mxfp4 (e1m2) + RH16,,,,,1.2889539718627925,,,,
Qwen_mxfp4 (e1m2) + RH32,,,,,1.2895795822143548,,,,
Qwen_mxfp4 (e1m2) + RH64,,,,,1.2841040611267085,,,,
Qwen_mxfp4 (e1m2) + RH128,,,,,1.335740756988525,,,,
Qwen_mxfp4 (e2m1) + Ceil,,,,,1.102836799621581,,,,
Qwen_mxfp4 (e2m1) + Floor,,,,,577.1493627548218,,,,
Qwen_mxfp4 (e1m2) + Ceil,,,,,1.7853652954101555,,,,
Qwen_mxfp4 (e1m2) + Floor,,,,,226.02303524017333,,,,
Qwen_mxfp4 (e2m1) + Hier+FoC+Ceil+RH32,,,,,0.8736555099487298,,,,
Qwen_mxfp4 (e1m2) + Hier+FoC+Ceil+RH32,,,,,1.3085605621337884,,,,
DeepSeek_mxfp4 (e1m2) + H,,,,,2.067387924194336,,,,
DeepSeek_mxfp4 (e1m2) + 4o6,,,,,1.6323760604858393,,,,
DeepSeek_e4m3 + PZ + RH16,,,,0.7683166122436518,,,,,
DeepSeek_mxfp4 (e2m1) + RH16,,,,,1.273594245910644,,,,
DeepSeek_mxfp4 (e2m1) + RH32,,,,,1.2462266540527338,,,,
DeepSeek_mxfp4 (e2m1) + RH64,,,,,1.300348625183105,,,,
DeepSeek_mxfp4 (e2m1) + RH128,,,,,1.3401206588745112,,,,
DeepSeek_mxfp4 (e1m2) + RH16,,,,,1.8792356109619133,,,,
DeepSeek_mxfp4 (e1m2) + RH32,,,,,1.7979281997680658,,,,
DeepSeek_mxfp4 (e1m2) + RH64,,,,,1.8019975280761715,,,,
DeepSeek_mxfp4 (e1m2) + RH128,,,,,1.855502471923828,,,,
DeepSeek_mxfp4 (e2m1) + Ceil,,,,,1.3479026412963862,,,,
DeepSeek_mxfp4 (e2m1) + Floor,,,,,129.8094323730469,,,,
DeepSeek_mxfp4 (e1m2) + Ceil,,,,,2.00452838897705,,,,
DeepSeek_mxfp4 (e1m2) + Floor,,,,,57.96916137695312,,,,
DeepSeek_mxfp4 (e2m1) + Hier+FoC+Ceil+RH32,,,,,1.2871974563598627,,,,
DeepSeek_mxfp4 (e1m2) + Hier+FoC+Ceil+RH32,,,,,1.8491662597656244,,,,
Llama_int8 + PZ,6.33,,,,,,,,-0.0602927970886231
Llama_int8 + PZ + RH256,6.33,,,,,,,,-0.0813556480407715
Llama_int4 + PZ,6.33,,,,,,,,3.321741981506348
Llama_int4 + PZ + RH256,6.33,,,,,,,,1.3388275337219238
Llama_e4m3 + PZ,6.33,,,0.5368446540832519,,,,,
Llama_mxfp4 (e2m1),6.33,,,,0.9357403945922852,,,,
Llama_mxfp4 (e1m2),6.33,,,,1.8104762268066408,,,,
Llama_mxfp4 (e2m1) + Tilted (2s),,,,,1.262731475830078,,,,
Llama_mxfp4 (e2m1) + Tilted (3s),,,,,1.5373253059387206,,,,
Llama_mxfp4 (e2m1) + Tilted (5s),,,,,1.678228302001953,,,,
Llama_mxfp4 (e2m1) + Rot (2s),,,,,1.1623548698425292,,,,
Llama_mxfp4 (e2m1) + Rot (3s),,,,,1.2063411903381347,,,,
Llama_mxfp4 (e2m1) + Rot (5s),,,,,1.2474698257446288,,,,
