Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
Granite_e4m3,4.91,0.8646453285217284,0.7005813980102538,0.6402133369445799,0.6727374458312987,0.7720707321166991,0.939947452545166,1.304613914489746,
Granite_e4m3 + 4o6,4.91,0.4337309265136717,0.4765771293640135,0.5587547683715819,0.6900308990478514,0.7757333183288573,0.9386275672912596,1.284529056549072,
Granite_e4m3 + 4o6 + H,4.91,-0.0648199653625489,-0.0004240608215333,0.0729425811767576,0.1835120582580565,0.3753040695190428,0.5872858428955077,1.0667332077026366,
Granite_e4m3 + 4o6 + PZ,4.91,0.4269774818420409,0.4754589462280272,0.561205711364746,0.6956571006774901,0.7757333183288573,0.9386275672912596,1.284529056549072,
Granite_e4m3 + 4o6 + PZ + H,4.91,-0.076757106781006,-0.004871997833252,0.0749848747253416,0.1822470092773436,0.3758109474182127,0.5832732582092284,1.0667332077026366,
Granite_e4m3 + H,4.91,0.0033505821228025,0.0657189750671385,0.1353238487243651,0.2062714958190916,0.3802035713195799,0.599932518005371,1.048716869354248,
Granite_e4m3 + PZ,4.91,0.7686046028137206,0.6936305427551268,0.6387961769104002,0.6821425819396971,0.771471824645996,0.939947452545166,1.304613914489746,
Granite_e4m3 + PZ + H,4.91,-0.0338660812377931,0.0391758346557615,0.1182077789306639,0.2013629341125486,0.3699925804138182,0.6010769271850585,1.0486520195007325,
Granite_e4m3 + PZ + RH16,,,,0.3532775306701659,,,,,
Granite_int4 + PZ,4.91,,,,,,,,5.7828091049194335
Granite_int4 + PZ + RH256,4.91,,,,,,,,0.5496967697143553
Granite_int8 + PZ,4.91,,,,,,,,-0.1556421852111817
Granite_int8 + PZ + RH256,4.91,,,,,,,,-0.1858626937866212
Granite_mxfp4 (e1m2),4.91,,,,1.0449417495727538,,,,
Granite_mxfp4 (e1m2) + 4o6,,,,,0.7349303627014159,,,,
Granite_mxfp4 (e1m2) + H,,,,,1.0193766021728514,,,,
Granite_mxfp4 (e1m2) + RH128,,,,,0.6670978927612303,,,,
Granite_mxfp4 (e1m2) + RH16,,,,,0.651145782470703,,,,
Granite_mxfp4 (e1m2) + RH32,,,,,0.6138428115844725,,,,
Granite_mxfp4 (e1m2) + RH64,,,,,0.6694267654418944,,,,
Granite_mxfp4 (e2m1),4.91,,,,0.5938981437683104,,,,
Granite_mxfp4 (e2m1) + RH128,,,,,0.3916295433044432,,,,
Granite_mxfp4 (e2m1) + RH16,,,,,0.3980348968505858,,,,
Granite_mxfp4 (e2m1) + RH32,,,,,0.3835047149658201,,,,
Granite_mxfp4 (e2m1) + RH64,,,,,0.3872912788391112,,,,
Granite_ue5m3,4.91,-0.0335074996948243,0.040653553009033,0.1064904594421385,0.1915620231628416,0.3829534912109373,0.5980566406249999,1.004003372192383,
Granite_ue5m3 + 4o6,4.91,-0.081,-0.022,0.063,0.171,0.375,0.58,1.038,
Granite_ue5m3 + 4o6 + H,4.91,-0.0709091758728028,-0.0156876182556153,0.0714114570617674,0.2143848800659178,0.3481052780151366,0.5683363342285155,1.0483330154418944,
Granite_ue5m3 + 4o6 + PZ,4.91,-0.081278476715088,-0.0222264862060548,0.063257541656494,0.1713169479370115,0.3753827476501463,0.5795992279052733,1.0380004310607909,
Granite_ue5m3 + 4o6 + PZ + H,4.91,-0.0709091758728028,-0.0156876182556153,0.0714114570617674,0.2143848800659178,0.3481052780151366,0.5683363342285155,1.0483330154418944,
Granite_ue5m3 + H,4.91,-0.031631145477295,0.0359877014160154,0.1264112854003904,0.2157247924804686,0.3687809371948241,0.5847848320007323,1.0463632011413573,
Granite_ue5m3 + PZ,4.91,-0.0335074996948243,0.040653553009033,0.1064904594421385,0.1915620231628416,0.3829534912109373,0.5980566406249999,1.004003372192383,
Granite_ue5m3 + PZ + H,4.91,-0.031631145477295,0.0359877014160154,0.1264112854003904,0.2157247924804686,0.3687809371948241,0.5847848320007323,1.0463632011413573,
