Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256
DeepSeek_mxfp4 (e1m2) + H,,,,,2.067387924194336,,,
DeepSeek_mxfp4 (e1m2) + 4o6,,,,,1.6323760604858393,,,
DeepSeek_e4m3 + PZ + RH16,,,,0.7683166122436518,,,,
DeepSeek_mxfp4 (e2m1) + RH16,,,,,1.273594245910644,,,
DeepSeek_mxfp4 (e2m1) + RH32,,,,,1.2462266540527338,,,
DeepSeek_mxfp4 (e2m1) + RH64,,,,,1.300348625183105,,,
DeepSeek_mxfp4 (e2m1) + RH128,,,,,1.3401206588745112,,,
DeepSeek_mxfp4 (e1m2) + RH16,,,,,1.8792356109619133,,,
DeepSeek_mxfp4 (e1m2) + RH32,,,,,1.7979281997680658,,,
DeepSeek_mxfp4 (e1m2) + RH64,,,,,1.8019975280761715,,,
DeepSeek_mxfp4 (e1m2) + RH128,,,,,1.855502471923828,,,
DeepSeek_mxfp4 (e2m1) + c90,,,,,18151629.61,,,
DeepSeek_mxfp4 (e2m1) + c95,,,,,660211699.61,,,
DeepSeek_mxfp4 (e2m1) + c99,,,,,103674419.61,,,
DeepSeek_mxfp4 (e1m2) + c90,,,,,31728313.61,,,
DeepSeek_mxfp4 (e1m2) + c95,,,,,754517747.61,,,
DeepSeek_mxfp4 (e1m2) + c99,,,,,52523503.61,,,
DeepSeek_mxfp4 (e2m1) + Ceil,,,,,1.3479026412963862,,,
DeepSeek_mxfp4 (e2m1) + Floor,,,,,129.8094323730469,,,
DeepSeek_mxfp4 (e1m2) + Ceil,,,,,2.00452838897705,,,
DeepSeek_mxfp4 (e1m2) + Floor,,,,,57.96916137695312,,,
DeepSeek_mxfp4 (e2m1) + Hier+FoC+Ceil+RH32,,,,,1.2871974563598627,,,
