Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
DeepSeek_int8 + PZ,12.39,,,,,,,,-0.0858847045898443
DeepSeek_int8 + PZ + RH256,12.39,,,,,,,,-0.1015402221679693
DeepSeek_int4 + PZ,12.39,,,,,,,,4.4745725250244135
DeepSeek_int4 + PZ + RH256,12.39,,,,,,,,1.6354020690917963
DeepSeek_e4m3 + PZ,12.39,,,0.5464957809448237,,,,,
DeepSeek_mxfp4 (e2m1),12.39,,,,1.3479026412963862,,,,
DeepSeek_mxfp4 (e1m2),12.39,,,,2.00452838897705,,,,
DeepSeek_e4m3 + PZ + H,,,,0.5415395355224604,,,,,
DeepSeek_mxfp4 (e2m1) + H,,,,,1.258727416992187,,,,
DeepSeek_e4m3 + 4o6 + PZ,,,,0.4388135528564447,,,,,
DeepSeek_mxfp4 (e2m1) + 4o6,,,,,1.2315133666992182,,,,
DeepSeek_mxfp4 (e2m1) + c90,,,,,1.2262471771240229,,,,
DeepSeek_mxfp4 (e2m1) + c95,,,,,1.2651685333251947,,,,
DeepSeek_mxfp4 (e2m1) + c99,,,,,1.321372375488281,,,,
DeepSeek_mxfp4 (e1m2) + c90,,,,,1.6552194213867182,,,,
DeepSeek_mxfp4 (e1m2) + c95,,,,,1.8131583786010737,,,,
DeepSeek_mxfp4 (e1m2) + c99,,,,,1.9805701828002924,,,,
