Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256
Granite_mxfp4 (e1m2) + H,,,,,1.0193766021728514,,,
Granite_mxfp4 (e1m2) + 4o6,,,,,0.7349303627014159,,,
Granite_e4m3 + PZ + RH16,,,,0.3532775306701659,,,,
Granite_mxfp4 (e2m1) + RH16,,,,,0.3980348968505858,,,
Granite_mxfp4 (e2m1) + RH32,,,,,0.3835047149658201,,,
Granite_mxfp4 (e2m1) + RH64,,,,,0.3872912788391112,,,
Granite_mxfp4 (e2m1) + RH128,,,,,0.3916295433044432,,,
Granite_mxfp4 (e1m2) + RH16,,,,,0.651145782470703,,,
Granite_mxfp4 (e1m2) + RH32,,,,,0.6138428115844725,,,
Granite_mxfp4 (e1m2) + RH64,,,,,0.6694267654418944,,,
Granite_mxfp4 (e1m2) + RH128,,,,,0.6670978927612303,,,
