Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
Granite_int8 + PZ,4.91,,,,,,,,-0.1556421852111817
Granite_int8 + PZ + RH256,4.91,,,,,,,,-0.1858626937866212
Granite_int4 + PZ,4.91,,,,,,,,5.7828091049194335
Granite_int4 + PZ + RH256,4.91,,,,,,,,0.5496967697143553
Granite_e4m3 + PZ,4.91,,,0.6413720512390135,,,,,
Granite_mxfp4 (e2m1),4.91,,,,0.5938981437683104,,,,
Granite_mxfp4 (e1m2),4.91,,,,1.0449417495727538,,,,
Granite_mxfp4 (e1m2) + H,,,,,0.4654358291625975,,,,
Granite_mxfp4 (e2m1) + c90,,,,,0.5396202468872069,,,,
Granite_mxfp4 (e2m1) + c95,,,,,0.5654137992858885,,,,
Granite_mxfp4 (e2m1) + c99,,,,,0.5916908645629881,,,,
Granite_mxfp4 (e1m2) + c90,,,,,0.7910550498962401,,,,
Granite_mxfp4 (e1m2) + c95,,,,,0.8928359413146971,,,,
Granite_mxfp4 (e1m2) + c99,,,,,1.0068734550476073,,,,
Granite_mxfp4 (e1m2) + 4o6,,,,,0.7349303627014159,,,,
