Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256
Llama_mxfp4 (e1m2) + H,,,,,1.8131550979614257,,,
Llama_mxfp4 (e1m2) + 4o6,,,,,1.1737407875061034,,,
Llama_e4m3 + PZ + RH16,,,,0.8172225189208984,,,,
Llama_mxfp4 (e2m1) + RH16,,,,,1.007493896484375,,,
Llama_mxfp4 (e2m1) + RH32,,,,,0.9971851539611816,,,
Llama_mxfp4 (e2m1) + RH64,,,,,1.0081047248840331,,,
Llama_mxfp4 (e2m1) + RH128,,,,,0.9660152626037596,,,
Llama_mxfp4 (e1m2) + RH16,,,,,1.6767758560180663,,,
Llama_mxfp4 (e1m2) + RH32,,,,,1.6511229705810546,,,
Llama_mxfp4 (e1m2) + RH64,,,,,1.6169599723815915,,,
Llama_mxfp4 (e1m2) + RH128,,,,,1.6864146423339843,,,
Llama_mxfp4 (e2m1) + c90,,,,,439639.1075,,,
Llama_mxfp4 (e2m1) + c95,,,,,243913.623125,,,
Llama_mxfp4 (e2m1) + c99,,,,,34426.14265625,,,
Llama_mxfp4 (e1m2) + c90,,,,,427841.6075,,,
Llama_mxfp4 (e1m2) + c95,,,,,186848.498125,,,
Llama_mxfp4 (e1m2) + c99,,,,,26889.746171875,,,
