Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
Llama_int8 + PZ,6.33,,,,,,,,-0.0602927970886231
Llama_int8 + PZ + RH256,6.33,,,,,,,,-0.0813556480407715
Llama_int4 + PZ,6.33,,,,,,,,3.321741981506348
Llama_int4 + PZ + RH256,6.33,,,,,,,,1.3388275337219238
Llama_e4m3 + PZ,6.33,,,0.5368446540832519,,,,,
Llama_mxfp4 (e2m1),6.33,,,,0.9357403945922852,,,,
Llama_mxfp4 (e1m2),6.33,,,,1.8104762268066408,,,,
Llama_mxfp4 (e2m1) + c90,,,,,0.8580230903625488,,,,
Llama_mxfp4 (e2m1) + c95,,,,,0.8886894416809081,,,,
Llama_mxfp4 (e2m1) + c99,,,,,0.9266833496093748,,,,
Llama_mxfp4 (e1m2) + c90,,,,,1.3400854301452636,,,,
Llama_mxfp4 (e1m2) + c95,,,,,1.5577220153808593,,,,
Llama_mxfp4 (e1m2) + c99,,,,,1.7426127624511718,,,,
