Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256
Qwen_mxfp4 (e1m2) + H,,,,,1.7198345184326165,,,
Qwen_mxfp4 (e1m2) + 4o6,,,,,1.231859874725341,,,
Qwen_e4m3 + PZ + RH16,,,,0.6779620170593255,,,,
Qwen_mxfp4 (e2m1) + RH16,,,,,0.8761698722839348,,,
Qwen_mxfp4 (e2m1) + RH32,,,,,0.8806602478027337,,,
Qwen_mxfp4 (e2m1) + RH64,,,,,0.8859393119812005,,,
Qwen_mxfp4 (e2m1) + RH128,,,,,0.8820020675659173,,,
Qwen_mxfp4 (e1m2) + RH16,,,,,1.2889539718627925,,,
Qwen_mxfp4 (e1m2) + RH32,,,,,1.2895795822143548,,,
Qwen_mxfp4 (e1m2) + RH64,,,,,1.2841040611267085,,,
Qwen_mxfp4 (e1m2) + RH128,,,,,1.335740756988525,,,
Qwen_mxfp4 (e2m1) + c90,,,,,114967.07911128998,,,
Qwen_mxfp4 (e2m1) + c95,,,,,63393.094736289975,,,
Qwen_mxfp4 (e2m1) + c99,,,,,32891.786142539975,,,
Qwen_mxfp4 (e1m2) + c90,,,,,103769.92286128998,,,
Qwen_mxfp4 (e1m2) + c95,,,,,42751.801767539975,,,
Qwen_mxfp4 (e1m2) + c99,,,,,33634.524423789975,,,
