Model_Config,Baseline,BS=4,BS=8,BS=16,BS=32,BS=64,BS=128,BS=256,BS=512
Qwen_int8 + PZ,5.358388710021973,,,,,,,,0.0193550109863274
Qwen_int8 + PZ + RH256,5.358388710021973,,,,,,,,-0.003853607177735
Qwen_int4 + PZ,5.358388710021973,,,,,,,,16.08063335418701
Qwen_int4 + PZ + RH256,5.358388710021973,,,,,,,,1.153640937805175
Qwen_e4m3 + PZ,5.358388710021973,,,0.5458275794982903,,,,,
Qwen_mxfp4 (e2m1),5.358388710021973,,,,1.102836799621581,,,,
Qwen_mxfp4 (e1m2),5.358388710021973,,,,1.7853652954101555,,,,
Qwen_mxfp4 (e2m1) + H,,,,,1.086513710021972,,,,
Qwen_mxfp4 (e2m1) + 4o6,,,,,0.9876853942871088,,,,
Qwen_mxfp4 (e2m1) + c90,,,,,1.0103079795837395,,,,
Qwen_mxfp4 (e2m1) + c95,,,,,1.040782165527343,,,,
Qwen_mxfp4 (e2m1) + c99,,,,,1.077896308898925,,,,
Qwen_mxfp4 (e1m2) + c90,,,,,1.435783576965331,,,,
Qwen_mxfp4 (e1m2) + c95,,,,,1.5904442787170403,,,,
Qwen_mxfp4 (e1m2) + c99,,,,,1.7548872947692864,,,,
Qwen_mxfp4 (e2m1) + Tilted (2s),,,,,0.9679758071899408,,,,
Qwen_mxfp4 (e2m1) + Tilted (3s),,,,,1.0924074172973626,,,,
Qwen_mxfp4 (e2m1) + Tilted (5s),,,,,1.1526634216308589,,,,
Qwen_mxfp4 (e2m1) + Rot (2s),,,,,0.9570171356201164,,,,
Qwen_mxfp4 (e2m1) + Rot (3s),,,,,0.9203750610351557,,,,
Qwen_mxfp4 (e2m1) + Rot (5s),,,,,0.9355451583862298,,,,
Qwen_mxfp4 (e1m2) + Tilted (2s),,,,,1.3097064018249505,,,,
Qwen_mxfp4 (e1m2) + Tilted (3s),,,,,1.354833793640136,,,,
Qwen_mxfp4 (e1m2) + Tilted (5s),,,,,1.4682428359985344,,,,
Qwen_mxfp4 (e1m2) + Rot (2s),,,,,1.2764970779418938,,,,
Qwen_mxfp4 (e1m2) + Rot (3s),,,,,1.2665154457092278,,,,
Qwen_mxfp4 (e1m2) + Rot (5s),,,,,1.2768704414367669,,,,
Qwen_mxfp4 (e1m2) + KS (320p),,,,,1.3224904060363762,,,,
Qwen_mxfp4 (e1m2) + Rot (80p),,,,,1.3031622886657708,,,,
"Qwen_wgt e1m2, act e2m1",,,,,1.4003784179687493,,,,
"Qwen_wgt e1m2, act e2m1 + random hadamard",,,,,1.14679307937622,,,,
"Qwen_wgt e1m2, act e2m1 + hierarchical scales",,,,,1.366815757751464,,,,
"Qwen_wgt e1m2, act e2m1 + hierarchical scales + random hadamard",,,,,1.1608464241027825,,,,
